size,n,var
"(2.7,2.7)",2,1
"(2.7,2.7)",3,1
"(2.7,2.7)",4,1
"(2.7,2.7)",5,1
"(2.8,2.8)",2,1
"(2.8,2.8)",3,1
"(2.8,2.8)",4,1
"(2.8,2.8)",5,1
"(2.7,2.7)",2,1
"(2.7,2.7)",3,1
"(2.7,2.7)",4,1
"(2.7,2.7)",5,1
"(2.8,2.8)",2,1
"(2.8,2.8)",3,1
"(2.8,2.8)",4,1
"(2.8,2.8)",5,1
"(2.7,2.7)",2,0
"(2.7,2.7)",3,0
"(2.7,2.7)",4,0
"(2.7,2.7)",5,0
"(2.8,2.8)",2,0
"(2.8,2.8)",3,0
"(2.8,2.8)",4,0
"(2.8,2.8)",5,0
"(2.7,2.7)",2,0
"(2.7,2.7)",3,0
"(2.7,2.7)",4,0
"(2.7,2.7)",5,0
"(2.8,2.8)",2,0
"(2.8,2.8)",3,0
"(2.8,2.8)",4,0
"(2.8,2.8)",5,0